% Time(hours) , Activity (TBq) , uncertainty on activity (TBq) 
0.16666667,223.4355798,16.61074132
0.175,222.227845,10.05857167
0.18333333,229.2385652,9.60942602
0.19166667,222.6969023,9.11224503
0.2,228.506432,5.10058915
0.20833333,236.3374624,7.18611787
0.21666667,220.8945729,12.60987764
0.225,223.6567973,5.7767641
0.23333333,226.3566936,10.07415208
0.24166667,210.082538,7.91262302
0.25,205.1392199,7.36348206
0.25833333,210.1153805,5.83230871
0.26666667,219.8678945,7.7493367
0.275,202.7949861,5.76785541
0.28333333,197.4395477,6.1820956
0.29166667,204.1432854,9.72096645
0.3,190.9065924,11.44610465
0.30833333,195.8182887,10.14842259
0.31666667,176.0743973,7.21550113
0.325,180.2417025,6.59596553
0.33333333,181.2484806,5.17013672
0.5,147.5730487,6.14331639
0.50833333,135.8273085,6.19135168
0.51666667,126.8685417,7.00765626
0.525,136.2859878,8.11587381
0.53333333,128.8453821,10.09071653
0.54166667,125.9853809,9.69366672
0.55,136.3045995,13.12497509
0.55833333,126.5384011,7.85922356
0.56666667,116.0660456,6.44987964
0.575,121.8350782,9.61369354
0.58333333,123.6907877,6.80582389
0.59166667,109.3166186,11.39895837
0.6,380.2420987,10.72431908
0.60833333,103.5811714,7.17705987
0.61666667,126.4630348,8.08244123
0.625,118.3751894,6.57566978
0.63333333,108.7120522,7.1192054
0.64166667,118.8714848,0
0.65,113.135304,5.4746681
0.65833333,95.69358087,5.32307741
0.84166667,65.62228149,11.97519103
0.85,74.93242908,5.98732376
0.85833333,56.47126912,15.12721189
0.86666667,74.76183202,5.36467208
0.875,51.95195288,7.55761353
0.88333333,48.10469929,10.42504043
0.89166667,62.69793971,5.35304786
0.9,74.14810724,8.5034446
0.90833333,82.00596515,6.2911444
0.91666667,54.82760909,6.14779863
0.925,64.20115874,10.8997113
0.93333333,53.03528971,5.75414145
0.94166667,69.47482724,9.54097432
0.95,60.94152134,9.95294582
0.95833333,42.35064789,6.37594428
0.96666667,61.89744555,8.50702846
0.975,53.06175904,7.93508076
0.98333333,204.3986999,7.53336507
0.99166667,58.78355755,6.98786829
